id,title,category,description
B00KO4OXPU,LG G3 Smartphone debloque 4G (Ecran: 5.5 pouces - 16 Go - Android 4.4.2 KitKat) Titane,telephone,LG G3 Silver16GoProcesseur : Quad Core - 2.5 GHz Systeme d'exploitation : Android 4.4.2 KitKat Type de batterie : 3000 mAh Lithium- ion (amovible) Ecran : 5.5 pouces Autonomie Veille / Communication (h) : Veille : Jusqu'a 565h / Communication : Jusqu'a 21h Compatibilite reseau : 4G Type de SIM : Micro-SIM (3FF) Capacite : 16 Go Chargement Sans Fil (induction) : Oui (norme Qi) Garantie Constructeur : 1 an
B00JBBPJD2,Wiko Rainbow Smartphone WI-FI Bluetooth Android(TM) 4.2.2 (Jelly Bean) 4 Go Noir (5 pouces),telephone,"<b>Gamme</b> : Rainbow<br><b>Marque du mobile</b> : Wiko<br><b>Reference du mobile</b> : Rainbow<br><b>Design</b> : Tout tactile<br><b>Memoire interne</b> : 4 Go<br><b>Memoire vive RAM</b> : 1 Go<br><b>OS (Systeme d'exploitation)</b> : Android 4.2.2 Jelly Bean<br><b>Technologie</b> : GSM 850-900/1800-1900 MHz<br><b>Bandes</b> : Quadri-bande<br><b>Processeur</b> : Quad Core 1.3 GHz, Cortex-A7<br><b>Double sim</b> : Oui<br><b>Norme 3G (UMTS)</b> : Oui<br><b>Norme 3G+ (HSDPA)</b> : Oui<br><b>Reseau 4G</b> : Non<br><b>GPRS</b> : Oui<br><b>Edge</b> : Oui<br><b>Java</b> : N/C<br><b>Outdoor</b> : Non<br><b>Indice DAS</b> : 0.955Ecran 5 pouces IPS HD 1280 x 720 pixels Appareil photo 8MP, enregistrement video HD 1080P Quad Core 1,3 GHz, Cortex-A7 Memoire : 4 Go, extension par Micro SD jusqu'a 32 Go Double SIM Dimensions: 146 x 74 x 9,3 mm"
B00RJMKQUG,Samsung Galaxy Core Prime Smartphone debloque 4G (Ecran : 4.5 pouces - 8 Go - Simple SIM - Android 4.4 KitKat) Blanc,telephone,Samsung Galaxy Core Prime WhiteProcesseur : Samsung Systeme d'exploitation : Android 4.4 KitKat Capacite : 8 Go Ecran : 4.5 pouces Simple SIM
B00OZ4T7HO,Motorola Nexus 6 Smartphone debloque 4G (Ecran: 6 pouces - 32 Go - Simple SIM - Android 5.0 Lollipop) Bleu,telephone,"Smartphone Motorola Google Nexus 6 coloris bleu nuit 32 Go. Caracteristiques techniques :  a venir Ecran 6""  ...Contenu du coffret de vente :TelephoneChargeur secteur1 manuel d'utilisateur 1 batterie 1 cable USBDAS0,93 W/kg. Le DAS (debit d'absorption specifique) des telephones mobiles quantifie le niveau d'exposition maximal de l'utilisateur aux ondes electromagnetiques, pour une utilisation a l'oreille. La reglementation francaise impose que le DAS ne depasse pas 2 W/kg.   Processeur : Qualcomm Snapdragon 805 SOC Capacite : 32 Go Ecran : 6 pouces Nano SIM"
B00OZ4T6VQ,Motorola Nexus 6 Smartphone debloque 4G (Ecran: 6 pouces - 32 Go - Simple SIM - Android 5.0 Lollipop) Blanc,telephone,"Le Nexus 6 de Motorola affiche un enorme ecran AMOLED 6"" de resolution Quad HD pour une clarte exceptionnelle dans votre travail ou vos divertissements.Outre une image d'une richesse exceptionnelle, le smartphone Nexus 6 propose un son d'une grande profondeur grace a ses 2 haut-parleurs situes a l'avant. Vous profitez d'un son stereo enveloppant d'une qualite incomparable pour vos videos et vos jeux. Vous en prenez ainsi plein la vue et plein les oreilles. Pour ne rien gater, ce GSM Motorola embarque une camera arriere 13 MPixels. Avec son objectif f2.0 a stabilisation optique, vous prenez ainsi de superbes cliches ou de tres belles prises de vue. Et grace au mode HDR+, l'appli native Appareil photo fait tout le travail a votre place pour des photos particulierement reussies.Le telephone mobile Nexus 6 profite aussi d'un processeur ultrapuissant, le Snapdragon 805 a quatre coeurs et d'une frequence de 2,7GHz. Vous profitez du multi-taches a la vitesse de l'eclair, et tirez le meilleurProcesseur : Qualcomm Snapdragon 805 SOC Capacite : 32 Go Ecran : 6 pouces Nano SIM"
B00KGA1PEO,Motorola G 4G Smartphone debloque 4G (Ecran: 4.5 pouces - 8 Go - Android 4.4 KitKat - Micro SD) Noir,telephone,"Booste par un processeur Quad Core A7 cadence a 1,2 GHz, le smartphone quadri-bande Moto G 4G de Motorola integre le systeme d'exploitation Android 4.4 KitKat. La 4G embarquee vous fait profiter d'une connectivite rapide ou que vous soyez. Ce telephone portable est egalement equipe du Bluetooth 4.0 et du WiFi.Le Motorola Moto G 4G dispose d'une camera frontale de 1,3 MP et d'une camera arriere de 5 MP (4:3). Ce mobile lit les images, la musique et la video. Il est en mesure d'enregistrer des videos en 720p aux formats MPEG4 et H.264. Le Moto G 4G offre 8 Go de memoire interne pour la sauvegarde des donnees. Il embarque aussi un GPS pour la navigation.Garantie Fabricant: 1 an Android 4.4 KitKat Capacite : 8 Go (extensible par carte Micro SD) Compatibilite reseau : 4G Cable USB inclus, chargeur mural et casque non inclus"
B00N1NC2LI,Wiko GOA Smartphone debloque 3G+ (Ecran : 3.5 pouces - 4 Go - Android 4.4 KitKat) Noir,telephone,"<b>Gamme</b> : Goa<br><b>Marque du mobile</b> : Wiko<br><b>Reference du mobile</b> : Goa<br><b>Design</b> : Tout tactile<br><b>Memoire interne</b> : 4 Go<br><b>Memoire vive RAM</b> : 512 Mo<br><b>OS (Systeme d'exploitation)</b> : Android 4.4 KitKat<br><b>Technologie</b> : GSM 850-900/1800-1900 MHz<br><b>Bandes</b> : Quadri-bande<br><b>Processeur</b> : Dual Core 1 GHz, Cortex-A7<br><b>Double sim</b> : Oui<br><b>Norme 3G (UMTS)</b> : Oui<br><b>Norme 3G+ (HSDPA)</b> : Oui<br><b>HSPA + (3G++ / H+ / Dual Carrier)</b> : Oui<br><b>Reseau 4G</b> : Non<br><b>GPRS</b> : Oui<br><b>Edge</b> : Oui<br><b>Outdoor</b> : Non<br><b>Indice DAS</b> : 0.609 (corps), 0.475 (tete)<br><b>Couleur</b> : NoirGarantie Fabricant: 2 an(s) 1 GHz  Dual Core Systeme d'exploitation : Android Capacite : 4 Go Ecran : 3,5 pouces Double SIM"
B00OWTEANI,Wiko Rainbow Smartphone debloque 4G (Ecran : 5 pouces - 8 Go - Simple SIM - Android 4.4 KitKat) Noir,telephone,"<b>Gamme</b> : Rainbow<br><b>Marque du mobile</b> : Wiko<br><b>Reference du mobile</b> : Rainbow<br><b>Design</b> : Tout tactile<br><b>Memoire interne</b> : 8 Go<br><b>Memoire vive RAM</b> : 1 Go<br><b>OS (Systeme d'exploitation)</b> : Android 4.4 KitKat<br><b>Technologie</b> : GSM 850-900/1800-1900 MHz<br><b>Bandes</b> : Quadri-bande<br><b>Processeur</b> : Quad Core 1.3 GHz Cortex-A7<br><b>Double sim</b> : Non<br><b>Norme 3G (UMTS)</b> : Oui<br><b>Norme 3G+ (HSDPA)</b> : Oui<br><b>Reseau 4G</b> : Oui<br><b>GPRS</b> : Oui<br><b>Edge</b> : Oui<br><b>Outdoor</b> : Non<br><b>Indice DAS</b> : 0.650 (corps), 0.327 (tete)<br><b>Couleur</b> : Noir<br><b>Taille ecran (pouces)</b> : 5<br><b>Nbre de couleur(s) ecran</b> : 16 M° de couleursGarantie Fabricant: 2 an(s) Systeme d'exploitation : Android 4.4 KitKat Capacite : 8 Go Ecran : 5 pouces Simple SIM"
B00OOPZLL0,Honor 6 Smartphone debloque 4G Cat 6 (Ecran : 5 pouces Full HD - 16 Go - Simple SIM  - Android 4.4 KitKat) Noir,telephone,"NoneUne technologie plus precise : Le grand ecran de 5 pouces haute definition vous permettra de voir les details sans avoir a zoomer. Faites egalement des photos de grande qualite grace aux 13 megapixels de la camera principale et a la camera frontale de 5 megapixels pour des selfies avantageux. Une technologie plus rapide : La 4G Cat 6  est six fois plus rapide que la 3G et 2 fois plus rapide que la 4G traditionelle, une vitesse de telechargement de 300 Mb/s. Ne ratez plus jamais de photo grace a l'ouverture de capteur de 0.6 seconde. Une technologie qui va plus loin: La duree de vie de la batterie de 3100mAh est prolongee de 30% grace a la technologie Smartpower2.0 ce qui vous permet jusqu'a 2 jours d'autonomie en utilisation normale. Garantie Fabricant: 2 ans. Prise en charge gratuite dans tous les Points Service Mobile. Systeme d'exploitation : Android 4.4 KitKat avec Emotion UI 2.3 Capacite : 16 Go et 3 Go de RAM Connectivite : 4G categorie 6 compatible avec tous les reseaux francais"
B00NBZ7LBM,Nokia Lumia 735 Smartphone debloque 4G (Ecran : 4.7 pouces - 8 Go - Windows Phone 8) Dark Grey,telephone,"Nokia LUMIA 735 Dark GreyProcesseur : Qualcomm 1,2 GHz Qualcomm Snapdragon 400 Systeme d'exploitation : Windows Phone 8 Capacite : 8 Go Ecran : 4,7 pouces Simple SIM"
