AFGHANISTAN,Inbound tourism,Arrivals - Thousands,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Inbound tourism,Tourism expenditure in the country - US$ Mn,,IMF,,,,,,,,,,,,,,43,96,138,137,116,89
AFGHANISTAN,Inbound tourism,Travel - US$ Mn,,IMF,,,,,,,,,,,,,,21,39,55,71,56,56
AFGHANISTAN,Inbound tourism,Passenger transport - US$ Mn,,IMF,,,,,,,,,,,,,,22,57,83,66,60,33
AFGHANISTAN,Outbound tourism,Departures - Thousands,,,,,,,,,,,,,,,,,,,,,
AFGHANISTAN,Outbound tourism,Tourism expenditure in other countries - US$ Mn,,IMF,,,,,,,,,,,,,,58,61,86,127,80,100
AFGHANISTAN,Outbound tourism,Travel - US$ Mn,,IMF,,,,,,,,,,,,,,55,59,83,113,75,94
AFGHANISTAN,Outbound tourism,Passenger transport - US$ Mn,,IMF,,,,,,,,,,,,,,3,2,3,14,5,6
ALBANIA,Inbound tourism,Arrivals - Thousands,1/2/,VF,304,287,119,184,371,317,354,470,557,645,748,937,1127,1420,1856,2417,2932,3514,3256
ALBANIA,Inbound tourism,Arrivals - Thousands,1/,TF,,,,,,,,,,,,,1062,1247,1711,2191,2469,3156,2857
ALBANIA,Inbound tourism,Arrivals - Thousands,3/,THS,41,64,23,22,26,32,34,36,41,34,57,63,67,57,65,74,136,149,118
ALBANIA,Inbound tourism,Tourism expenditure in the country - US$ Mn,,IMF,70,94,34,60,218,398,451,492,537,756,880,1057,1479,1848,2014,1780,1833,1623,1670
ALBANIA,Inbound tourism,Travel - US$ Mn,,IMF,65,77,27,54,211,389,446,487,522,735,854,1012,1378,1713,1829,1613,1632,1464,1473
ALBANIA,Inbound tourism,Passenger transport - US$ Mn,,IMF,5,17,7,6,7,9,5,5,15,21,26,45,101,135,185,167,201,159,197
ALBANIA,Outbound tourism,Departures - Thousands,,,12,16,,,,,955,1303,1350,1694,2097,2616,2979,3716,3404,3443,4120,3959,3928
ALBANIA,Outbound tourism,Tourism expenditure in other countries - US$ Mn,,IMF,19,25,13,22,35,290,269,386,507,669,808,989,1331,1644,1693,1454,1678,1374,1567
ALBANIA,Outbound tourism,Travel - US$ Mn,,IMF,7,12,5,5,12,272,257,365,489,642,786,965,1268,1555,1586,1362,1565,1284,1479
ALBANIA,Outbound tourism,Passenger transport - US$ Mn,,IMF,12,13,8,17,23,18,12,21,18,27,22,24,63,89,107,92,113,90,88
ALGERIA,Inbound tourism,Arrivals - Thousands,1/,VF,520,605,635,678,749,866,901,988,1166,1234,1443,1638,1743,1772,1912,2070,2395,2634,
ALGERIA,Inbound tourism,Tourism expenditure in the country - US$ Mn,,IMF,,,,,,,,,,,477,393,334,473,361,324,300,295,326
ALGERIA,Inbound tourism,Travel - US$ Mn,2/,IMF,32,45,28,74,80,102,100,111,112,178,184,220,219,323,246,220,209,217,250
ALGERIA,Inbound tourism,Passenger transport - US$ Mn,,IMF,,,,,,,,,,,293,173,115,150,115,104,91,78,76
ALGERIA,Outbound tourism,Departures - Thousands,,,1090,874,827,879,903,1006,1190,1257,1254,1417,1513,1349,1499,1539,1677,1757,1715,1911,
ALGERIA,Outbound tourism,Tourism expenditure in other countries - US$ Mn,,IMF,,,,,,,,,,,660,414,502,613,575,677,571,565,482
ALGERIA,Outbound tourism,Travel - US$ Mn,2/,IMF,186,188,144,269,251,193,194,248,255,341,370,349,376,468,456,562,502,496,422
ALGERIA,Outbound tourism,Passenger transport - US$ Mn,,IMF,,,,,,,,,,,290,65,126,145,119,115,69,69,60
AMERICAN SAMOA,Inbound tourism,Arrivals - Thousands,,TF,34,35,26,36,41,44,36,,,,24,25,24,"24,3","23,5","22,6","21,9","21,6",
AMERICAN SAMOA,Inbound tourism,Tourism expenditure in the country - US$ Mn,,,,,,,,,,,,,,,,,,,,,
AMERICAN SAMOA,Inbound tourism,Travel - US$ Mn,,,,,,,,,,,,,,,,,,,,,
