"Ease_in_public", "Opening_up_to_others", "Diplomacy", "Persuasion", "Leading", "Taking_responsibility", "Organization", "Vision", "Self_confidence", "Independent_mind", "Creativity", "Autonomy", "Stress_management", "Responsiveness", "Patience", "Respect_for_authority", "Determination", "Ambition", "Work_ethic", "Competitive_spirit", "Social_recognition", "Pay", "Security", "Private_professional_life", "Philantropy", "Need_to_belong", "Need_for_relations", "Need_for_variety"
5.2067,2.5804,1.5569,5.6121,6.5616,5.5227,7.0473,3.0106,8.2706,9.0892,5.9198,8.6088,8.1667,8.8029,1.7165,3.1109,6.0455,2.8369,4.1262,5.9889,1.0,3.3179,5.7247,6.8922,7.7611,5.459,5.1194,8.2951
3.4289,7.0446,8.1919,6.5467,6.5616,6.6591,7.0473,5.1383,4.8074,1.5216,5.1565,7.5725,7.2407,4.2314,3.7784,5.8258,3.9064,1.7674,6.9299,5.1,5.2962,5.1036,6.8541,4.6859,6.7333,4.1362,6.2904,4.7822
9.6511,7.0446,7.2441,7.4813,4.6659,3.25,4.5782,3.0106,6.539,4.7649,7.4466,2.3912,4.463,4.2314,4.8093,5.8258,4.9759,3.9064,5.0607,5.9889,4.2721,5.1036,4.5954,5.789,5.7055,5.459,7.4614,5.9532
6.0956,7.0446,5.3483,5.6121,4.6659,6.6591,4.5782,3.0106,8.2706,4.7649,5.9198,3.4275,4.463,6.5171,5.8402,6.7308,3.9064,4.9759,5.9953,5.1,6.3203,5.9964,3.4661,6.8922,3.6501,4.1362,9.8033,3.6112
5.2067,7.0446,5.3483,3.743,2.7701,3.25,4.5782,8.3298,5.6732,4.7649,5.9198,5.5,4.463,8.8029,8.933,3.1109,6.0455,3.9064,5.9953,6.8778,5.2962,7.7821,5.7247,6.8922,1.0,5.459,7.4614,2.4402
4.3178,4.3661,5.3483,7.4813,5.6137,6.6591,5.4012,4.0745,3.9416,5.8459,3.6298,5.5,4.463,5.3743,7.9021,6.7308,8.1845,0.6979,7.8645,6.8778,3.2481,1.0,6.8541,6.8922,9.8165,8.1045,3.9484,3.6112
2.54,6.1518,8.1919,2.8084,4.6659,4.3864,5.4012,4.0745,7.4048,6.927,7.4466,7.5725,7.2407,4.2314,7.9021,4.0158,3.9064,6.0455,4.1262,4.2111,3.2481,4.2107,4.5954,7.9953,8.7888,6.7818,3.9484,4.7822
7.8733,7.9375,8.1919,2.8084,5.6137,4.3864,4.5782,6.2021,3.0758,5.8459,8.9733,4.4637,2.6111,1.9457,5.8402,4.9208,7.115,2.8369,6.9299,5.9889,4.2721,1.0,4.5954,5.789,9.8165,6.7818,7.4614,3.6112
6.9844,4.3661,6.2962,8.4159,4.6659,4.3864,3.7551,5.1383,3.9416,3.6838,5.1565,6.5363,4.463,3.0886,3.7784,4.0158,7.115,7.115,7.8645,8.6556,6.3203,7.7821,3.4661,5.789,5.7055,4.1362,5.1194,4.7822
6.0956,3.4732,5.3483,5.6121,4.6659,3.25,6.2243,6.2021,8.2706,9.0892,4.3931,5.5,8.1667,5.3743,3.7784,4.0158,7.115,2.8369,6.9299,3.3222,6.3203,4.2107,7.9833,7.9953,6.7333,2.8135,5.1194,2.4402
3.4289,7.9375,7.2441,7.4813,6.5616,6.6591,6.2243,3.0106,4.8074,3.6838,5.9198,2.3912,8.1667,5.3743,6.8711,8.5407,0.6979,1.7674,5.9953,5.1,4.2721,3.3179,6.8541,6.8922,7.7611,1.0,5.1194,8.2951
5.2067,6.1518,9.1398,1.8738,1.8223,10.0,5.4012,9.3936,6.539,3.6838,6.6832,5.5,4.463,5.3743,9.9639,6.7308,1.7674,3.9064,4.1262,2.4333,3.2481,1.0,6.8541,9.0985,6.7333,6.7818,3.9484,5.9532
7.8733,3.4732,1.0,5.6121,4.6659,4.3864,3.7551,5.1383,8.2706,10.0,7.4466,8.6088,5.3889,9.9457,2.7474,1.0,8.1845,1.7674,5.9953,4.2111,4.2721,1.0,5.7247,9.0985,6.7333,5.459,3.9484,7.1241
7.8733,4.3661,7.2441,1.8738,4.6659,7.7955,8.6934,3.0106,5.6732,4.7649,7.4466,6.5363,3.537,3.0886,6.8711,7.6357,3.9064,3.9064,5.9953,3.3222,5.2962,3.3179,7.9833,6.8922,5.7055,4.1362,6.2904,4.7822
5.2067,4.3661,5.3483,5.6121,7.5095,5.5227,5.4012,4.0745,3.9416,2.6027,5.1565,9.6451,4.463,4.2314,8.933,7.6357,3.9064,2.8369,5.0607,7.7667,7.3444,7.7821,6.8541,6.8922,5.7055,2.8135,1.0,3.6112
6.2512,5.7129,6.1889,7.9257,6.0233,8.8814,5.8842,2.3325,6.1982,6.4609,1.6857,4.9581,3.476,6.5658,3.4113,5.8507,1.8341,4.6273,6.9727,8.8004,7.1193,6.1388,5.1686,4.7341,2.4399,9.3556,5.2106,4.2509
4.1701,5.4134,8.4548,5.9279,3.2777,4.6629,4.2409,7.2688,6.2612,7.6893,8.3891,5.3814,4.4187,3.229,7.4543,3.884,7.1413,5.1715,4.0179,4.0009,3.4927,6.1908,4.0488,4.8657,8.5372,5.8396,5.2329,5.6584
4.3178,3.4732,5.3483,8.4159,6.5616,8.9318,5.4012,4.0745,3.0758,6.927,5.1565,3.4275,6.3148,3.0886,3.7784,6.7308,3.9064,4.9759,6.9299,8.6556,7.3444,5.9964,5.7247,5.789,5.7055,4.1362,6.2904,2.4402
6.0956,6.1518,4.4005,2.8084,1.8223,3.25,3.7551,7.266,3.9416,5.8459,6.6832,7.5725,6.3148,7.66,7.9021,6.7308,8.1845,4.9759,5.0607,4.2111,3.2481,5.9964,7.9833,7.9953,6.7333,4.1362,6.2904,1.2693
