"Ease_in_public", "Opening_up_to_others", "Diplomacy", "Persuasion", "Leading", "Taking_responsibility", "Organization", "Vision", "Self_confidence", "Independent_mind", "Creativity", "Autonomy", "Stress_management", "Responsiveness", "Patience", "Respect_for_authority", "Determination", "Ambition", "Work_ethic", "Competitive_spirit", "Social_recognition", "Pay", "Security", "Private_professional_life", "Philantropy", "Need_to_belong", "Need_for_relations", "Need_for_variety"
5.2616,8.4257,9.3506,2.0657,7.9125,5.5709,5.8892,5.8073,4.2943,1.9176,9.1443,2.8842,6.5693,6.5632,10.0,5.848,0.7154,3.4694,4.889,1.0,7.0957,1.0,3.951,6.1134,7.4482,6.2894,10.0,1.8217
3.2912,2.9606,3.0243,7.9243,7.9125,2.2593,1.0,9.2669,9.0639,5.3353,4.1833,6.0513,6.5693,7.684,5.4573,5.848,7.2983,5.695,3.8431,5.9628,5.9224,6.1455,2.719,7.4579,3.6988,6.2894,3.9237,7.8962
1.2471,6.3198,5.2214,7.8309,5.1548,6.8813,7.9386,6.0895,1.5898,7.6743,3.4549,10.0,1.4697,6.5588,5.4129,5.7343,6.018,5.1604,5.0704,5.8218,4.6338,5.1872,1.5223,6.2516,8.5283,4.3126,5.2339,8.0739
6.2468,7.5149,5.1331,4.995,5.0996,4.467,4.9648,2.3477,5.2482,5.3353,8.3174,1.8285,2.4401,6.5632,3.4042,7.665,6.2011,3.4694,8.0267,8.7781,8.2689,1.0,2.719,3.4244,7.4482,4.7736,9.017,6.6813
9.2024,8.4257,4.0787,3.0422,5.0996,6.6747,5.8892,3.5009,5.2482,5.3353,7.4906,2.8842,5.537,5.4425,8.537,5.848,4.0068,3.4694,4.889,4.0859,3.5759,3.0576,7.6469,6.1134,4.9486,7.8052,6.4704,5.4664
5.1474,6.3198,3.0607,4.9435,6.09,9.0893,8.86,3.7392,4.3931,3.1447,2.6326,4.3124,4.4276,7.6712,7.4554,6.6526,4.9101,7.424,6.0955,3.9883,8.0571,5.1872,7.8624,3.5113,4.9342,4.3126,3.9677,5.6528
6.1225,8.136,6.3017,5.906,6.09,4.6733,4.2529,4.9143,4.3931,5.4095,1.8103,4.3124,5.4136,5.4463,7.4554,3.8978,8.2339,8.5557,5.0704,4.905,6.916,8.1793,6.5944,2.1411,4.9342,4.3126,6.5001,3.2317
7.232,2.9606,6.1875,5.9715,7.9125,5.5709,5.8892,3.5009,3.3404,6.4745,5.0102,7.107,3.4724,3.201,6.4839,6.7565,5.104,4.5822,6.9808,5.9628,4.7491,7.1748,6.415,7.4579,3.6988,6.2894,2.6505,5.4664
5.1474,4.5035,7.3821,4.9435,5.1548,3.5693,5.1743,7.2647,7.1964,8.8067,9.2109,7.5041,4.4276,7.6712,6.4341,1.0,2.6942,1.7651,6.0955,3.9883,5.7749,1.0,2.7903,6.2516,7.3304,5.83,5.2339,9.2845
8.0727,5.4116,5.2214,5.906,1.0,3.5693,4.2529,2.564,7.1964,5.4095,8.3886,5.3763,5.4136,5.4463,4.3916,2.0612,7.126,7.424,6.0955,8.5722,8.0571,8.1793,4.0583,4.8814,2.5381,4.3126,3.9677,6.8634
7.232,6.604,7.2419,2.0657,3.2244,8.8824,4.0405,3.5009,5.2482,3.0569,2.5297,4.9956,7.6017,5.4425,4.4307,9.4821,7.2983,7.9207,5.9349,4.0859,8.2689,4.0869,7.6469,6.1134,4.9486,4.7736,2.6505,5.4664
8.0727,6.3198,5.2214,4.9435,3.2844,6.8813,3.3314,8.4399,2.5242,0.8799,3.4549,3.2485,8.3716,4.3338,5.4129,7.5709,7.126,10.0,4.0452,5.8218,9.1981,8.1793,4.0583,3.5113,2.5381,5.83,6.5001,3.2317
6.2468,6.604,7.2419,8.9008,2.2867,5.5709,6.8135,3.5009,4.2943,5.3353,5.837,7.107,6.5693,6.5632,1.351,5.848,1.8125,5.695,4.889,6.9012,3.5759,4.0869,3.951,2.0798,8.698,9.321,9.017,4.2515
1.2471,2.6872,5.2214,8.7933,4.2196,4.6733,3.3314,10.0,5.3275,6.5419,4.2772,9.6318,3.4417,8.7837,6.4341,2.0612,9.3419,2.8969,9.171,3.9883,6.916,6.1846,7.8624,7.6216,4.9342,5.83,1.0,3.2317
8.2149,3.2681,3.0884,6.9753,6.7646,3.1694,5.5857,6.7392,9.0806,5.0472,1.8507,6.6538,6.8227,7.6252,5.5361,3.1913,1.8986,6.507,6.8766,6.2262,9.9408,3.3853,4.9572,3.485,4.6869,6.5774,7.6222,3.8866
3.1973,6.3198,5.2214,7.8309,5.1548,6.8813,7.0172,2.564,9.9996,8.8067,2.6326,5.3763,5.4136,5.4463,6.4341,6.6526,4.9101,4.0287,3.0201,3.0715,5.7749,6.1846,7.8624,7.6216,3.7361,5.83,2.7016,4.4423
7.232,8.4257,6.1875,4.0186,6.9749,6.6747,4.9648,3.5009,5.2482,7.6137,6.6638,3.9399,4.5047,2.0802,8.537,4.0309,6.2011,3.4694,4.889,4.0859,4.7491,6.1455,8.8788,7.4579,6.1984,3.2579,5.1971,1.8217
3.1973,8.136,8.4624,5.906,3.2844,3.5693,3.3314,8.4399,3.4587,6.5419,5.9217,7.5041,8.3716,8.7837,4.3916,5.7343,2.6942,6.2922,4.0452,3.0715,8.0571,6.1846,4.0583,8.9918,6.1323,1.0,3.9677,4.4423
